config,num_chunks,avg_latency_sec,judge_score,sweep,ingest_sec,error
C1_sentence,1129,7.09,4.933,chunking,,
C2_fixed-512,2933,5.55,5.0,chunking,,
C3_fixed-1024,1467,5.4,4.867,chunking,,
C5_structural,894,6.46,4.933,chunking,,
E1_mpnet-768,1129,5.97,4.867,embedding,,
E2_minilm-384,1129,5.62,5.0,embedding,,
E3_bge-small,1129,6.17,4.933,embedding,,
E4_openai-3-small,1129,5.78,4.933,embedding,,
V0_PyTorch,1129,6.87,4.933,vectorstore,739.88,
V1_FAISS,1129,5.65,4.867,vectorstore,0.06,
V3_Qdrant,1129,6.16,4.933,vectorstore,2.75,
V4_LanceDB,1129,7.31,4.933,vectorstore,3.04,
V5_Milvus,0,0.0,0.0,vectorstore,0.0,"<ConnectionConfigException: (code=1, message=milvus-lite is required for local database connections. Please install it with: pip install pymilvus[milvus_lite])>"
L3_gpt4o-mini,1129,6.62,4.933,llm,,
C4_semantic,3351,8.78,5.0,chunking,,
E5_fastembed-bge,1129,6.16,4.933,embedding,,
V2_Chroma,1129,5.52,5.0,vectorstore,3.15,
L1_claude-haiku,1129,4.94,4.6,llm,,
L2_claude-sonnet,1129,8.82,4.467,llm,,
